OH * NH ; OGHD

ON * OA ; OOON

ON * OB ; OOAH

ON * OC ; OOBG

ON * OD ; OOCS

ON * OE ; OODE

ON * OS ; OOED

ON * OG ; OOSC

ON * OH ; OOGB

ON * ON ; OOHA

ON * AO ; OONO

ON * AA ; OONN

ON * AB ; OAOH

ON * AC ; OAAG

ON * AD ; OABS

ON * AE ; OACE

ON * AS ; OADD

ON * AG ; OAEC

ON * AH ; OASB

ON * AN ; OAGA

ON * BO ; OAHO

ON * BA ; OAHN

ON * BB ; OANH

ON * BC ; OBOG

ON * BD ; OBAS

ON * BE ; OBBE

ON * BS ; OBCD

ON * BG ; OBDC

ON * BH ; OBEB

ON * BN ; OBSA

ON * CO ; OBGO

ON * CA ; OBGN

ON * CB ; OBHH

ON * CC ; OBNG

ON * CD ; OCOS

ON * CE ; OCAE

ON * CS ; OCBD

ON * CG ; OCCC

ON * CH ; OCDB

ON * CN ; OCEA

ON * DO ; OCSO

ON * DA ; OCSN

ON * DB ; OCGH

ON * DC ; OCHG

ON * DD ; OCNS

ON * DE ; ODOE

ON * DS ; ODAD

ON * DG ; ODBC

ON * DH ; ODCB

ON * DN ; ODDA

ON * EO ; ODEO

ON * EA ; ODEN

ON * EB ; ODSH

ON * EC ; ODGG

ON * ED ; ODHS

ON * EE ; ODNE

ON * ES ; OEOD

ON * EG ; OEAC

ON * EH ; OEBB

ON * EN ; OECA

ON * SO ; OEDO

ON * SA ; OEDN

ON * SB ; OEEH

ON * SC ; OESG

ON * SD ; OEGS

ON * SE ; OEHE

ON * SS ; OEND

ON * SG ; OSOC

ON * SH ; OSAB

ON * SN ; OSBA

ON * GO ; OSCO

ON * GA ; OSCN

ON * GB ; OSDH

ON * GC ; OSEG

ON * GD ; OSSS

ON * GE ; OSGE

ON * GS ; OSHD

ON * GG ; OSNC

ON * GH ; OGOB

ON * GN ; OGAA

ON * HO ; OGBO

ON * HA ; OGBN

ON * HB ; OGCH

ON * HC ; OGDG

ON * HD ; OGES

ON * HE ; OGSE

ON * HS ; OGGD

ON * HG ; OGHC

ON * HH ; OGNB

ON * HN ; OHOA

ON * NO ; OHAO

ON * NA ; OHAN

ON * NB ; OHBH

ON * NC ; OHCG

ON * ND ; OHDS

ON * NE ; OHEE

ON * NS ; OHSD

ON * NG ; OHGC

ON * NH ; OHHB

AO * OA ; OOAO

AO * OB ; OOBO

AO * OC ; OOCO

AO * OD ; OODO

AO * OE ; OOEO

AO * OS ; OOSO

AO * OG ; OOGO

AO * OH ; OOHO

AO * ON ; OONO

AO * AO ; OAOO

AO * AA ; OAAO

AO * AB ; OABO

AO * AC ; OACO

AO * AD ; OADO

AO * AE ; OAEO

AO * AS ; OASO

AO * AG ; OAGO

AO * AH ; OAHO

AO * AN ; OANO

AO * BO ; OBOO

AO * BA ; OBAO

AO * BB ; OBBO

AO * BC ; OBCO

AO * BD ; OBDO

AO * BE ; OBEO

AO * BS ; OBSO

AO * BG ; OBGO

AO * BH ; OBHO

AO * BN ; OBNO

